Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PAYA LEBAR SQUARE,"874,000",505.91,"1,728",12 Mar 2012,60 PAYA LEBAR ROAD #06-36,New Sale,Strata,47,"18,596",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"906,500",505.91,"1,792",12 Mar 2012,60 PAYA LEBAR ROAD #10-33,New Sale,Strata,47,"19,287",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,052,000",635.08,"1,656",12 Mar 2012,60 PAYA LEBAR ROAD #04-01,New Sale,Strata,59,"17,831",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,894,340","1,087.16","1,742",12 Mar 2012,60 PAYA LEBAR ROAD #08-48,New Sale,Strata,101,"18,756",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"21,146,465","6,684.44","3,164",12 Mar 2012,"100 PECK SEAH STREET #10-01,02,03,04 ETC",New Sale,Strata,621,"34,052",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PAYA LEBAR SQUARE,"1,853,180","1,087.16","1,705",13 Mar 2012,60 PAYA LEBAR ROAD #07-13,New Sale,Strata,101,"18,348",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"919,240",538.2,"1,708",13 Mar 2012,60 PAYA LEBAR ROAD #07-56,New Sale,Strata,50,"18,385",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,067,000",645.84,"1,652",13 Mar 2012,60 PAYA LEBAR ROAD #07-19,New Sale,Strata,60,"17,783",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"888,888",484.38,"1,835",13 Mar 2012,60 PAYA LEBAR ROAD #11-03,New Sale,Strata,45,"19,753",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE ADELPHI,"3,128,602","1,603.84","1,951",13 Mar 2012,1 COLEMAN STREET #09-04,Resale,Strata,149,"20,997",Office,999 yrs from 12/05/1828,06,17,179803,Central Region,Downtown Core
PAYA LEBAR SQUARE,"969,000",538.2,"1,800",13 Mar 2012,60 PAYA LEBAR ROAD #10-56,New Sale,Strata,50,"19,380",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,012,000",538.2,"1,880",13 Mar 2012,60 PAYA LEBAR ROAD #11-47,New Sale,Strata,50,"20,240",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"836,000",484.38,"1,726",13 Mar 2012,60 PAYA LEBAR ROAD #09-22,New Sale,Strata,45,"18,578",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PARKWAY PARADE,"6,600,000","4,499.35","1,467",13 Mar 2012,"80 MARINE PARADE ROAD #16-05,06,07",Resale,Strata,418,"15,789",Office,99 yrs from 17/08/1979,15,44,449269,Central Region,Marine Parade
PAYA LEBAR SQUARE,"916,000",505.91,"1,811",13 Mar 2012,60 PAYA LEBAR ROAD #07-41,New Sale,Strata,47,"19,489",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,720,000","1,044.11","1,647",13 Mar 2012,60 PAYA LEBAR ROAD #06-57,New Sale,Strata,97,"17,732",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"962,000",548.96,"1,752",13 Mar 2012,60 PAYA LEBAR ROAD #07-14,New Sale,Strata,51,"18,863",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"921,200",505.91,"1,821",13 Mar 2012,60 PAYA LEBAR ROAD #10-40,New Sale,Strata,47,"19,600",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
WIS@CHANGI,"708,500",484.38,"1,463",13 Mar 2012,116 CHANGI ROAD #02-02,New Sale,Strata,45,"15,744",Office,Freehold,14,41,419718,Central Region,Geylang
THE CENTRAL,"1,110,000",635.08,"1,748",13 Mar 2012,6 EU TONG SEN STREET #10-14,Resale,Strata,59,"18,814",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
PAYA LEBAR SQUARE,"1,675,000","1,011.82","1,655",14 Mar 2012,60 PAYA LEBAR ROAD #05-35,New Sale,Strata,94,"17,819",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"927,000",505.91,"1,832",14 Mar 2012,60 PAYA LEBAR ROAD #10-31,New Sale,Strata,47,"19,723",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
INTERNATIONAL PLAZA,"1,550,000",936.47,"1,655",14 Mar 2012,10 ANSON ROAD #21-13,Resale,Strata,87,"17,816",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,690,500","1,011.82","1,671",14 Mar 2012,60 PAYA LEBAR ROAD #06-32,New Sale,Strata,94,"17,984",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,648,360",958,"1,721",14 Mar 2012,60 PAYA LEBAR ROAD #08-05,New Sale,Strata,89,"18,521",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE ADELPHI,"2,273,300","1,270.15","1,790",14 Mar 2012,1 COLEMAN STREET #05-13,Resale,Strata,118,"19,265",Office,999 yrs from 12/05/1828,06,17,179803,Central Region,Downtown Core
THE CENTRAL,"1,350,000",645.84,"2,090",15 Mar 2012,6 EU TONG SEN STREET #09-13,Resale,Strata,60,"22,500",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
INTERNATIONAL PLAZA,"756,800",473.62,"1,598",15 Mar 2012,10 ANSON ROAD #10-17,Resale,Strata,44,"17,200",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,062,270",548.96,"1,935",15 Mar 2012,60 PAYA LEBAR ROAD #12-12,New Sale,Strata,51,"20,829",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PEOPLE'S PARK CENTRE,"850,000",419.8,"2,025",15 Mar 2012,101 UPPER CROSS STREET #B1-70,Resale,Strata,39,"21,795",Office,99 yrs from 02/06/1970,01,05,058357,Central Region,Outram
PAYA LEBAR SQUARE,"949,000",538.2,"1,763",15 Mar 2012,60 PAYA LEBAR ROAD #07-53,New Sale,Strata,50,"18,980",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE CENTRAL,"3,800,000","1,668.42","2,278",15 Mar 2012,8 EU TONG SEN STREET #16-98,Resale,Strata,155,"24,516",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
PAYA LEBAR SQUARE,"955,000",516.67,"1,848",15 Mar 2012,60 PAYA LEBAR ROAD #10-39,New Sale,Strata,48,"19,896",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE CENTRAL,"1,200,000",635.08,"1,890",15 Mar 2012,6 EU TONG SEN STREET #06-09,Resale,Strata,59,"20,339",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
GOLDEN MILE COMPLEX,"668,000",925.7,722,15 Mar 2012,5001 BEACH ROAD #08-16,Resale,Strata,86,"7,767",Office,99 yrs from 04/08/1969,07,19,199588,Central Region,Kallang
PAYA LEBAR SQUARE,"961,000",538.2,"1,786",16 Mar 2012,60 PAYA LEBAR ROAD #07-49,New Sale,Strata,50,"19,220",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
CENTROPOD @ CHANGI,"795,700",473.62,"1,680",16 Mar 2012,80 CHANGI ROAD #03-22,New Sale,Strata,44,"18,084",Office,Freehold,14,41,419715,Central Region,Geylang
UNION BUILDING,"1,490,000",925.7,"1,610",16 Mar 2012,171 TRAS STREET #05-173,Resale,Strata,86,"17,326",Office,Freehold,02,07,079025,Central Region,Downtown Core
THE CENTRAL,"1,468,896",635.08,"2,313",16 Mar 2012,6 EU TONG SEN STREET #09-14,Resale,Strata,59,"24,897",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
PAYA LEBAR SQUARE,"1,070,000",645.84,"1,657",16 Mar 2012,60 PAYA LEBAR ROAD #08-19,New Sale,Strata,60,"17,833",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"961,000",538.2,"1,786",16 Mar 2012,60 PAYA LEBAR ROAD #07-50,New Sale,Strata,50,"19,220",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"924,000",505.91,"1,826",16 Mar 2012,60 PAYA LEBAR ROAD #10-37,New Sale,Strata,47,"19,660",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE ADELPHI,"4,397,400","2,443.43","1,800",16 Mar 2012,1 COLEMAN STREET #08-02,Resale,Strata,227,"19,372",Office,999 yrs from 12/05/1828,06,17,179803,Central Region,Downtown Core
PAYA LEBAR SQUARE,"908,000",505.91,"1,795",19 Mar 2012,60 PAYA LEBAR ROAD #07-40,New Sale,Strata,47,"19,319",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"923,000",516.67,"1,786",19 Mar 2012,60 PAYA LEBAR ROAD #07-39,New Sale,Strata,48,"19,229",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
HIGH STREET PLAZA,"245,000",86.11,"2,845",19 Mar 2012,77 HIGH STREET #07-08,Resale,Strata,8,"30,625",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
PAYA LEBAR SQUARE,"996,000",538.2,"1,851",19 Mar 2012,60 PAYA LEBAR ROAD #11-53,New Sale,Strata,50,"19,920",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
EASTGATE,"1,668,000","1,130.22","1,476",19 Mar 2012,46 EAST COAST ROAD #09-01,Resale,Strata,105,"15,886",Office,Freehold,15,42,428766,Central Region,Marine Parade
PS100,"1,594,608",484.38,"3,292",19 Mar 2012,100 PECK SEAH STREET #08-14,New Sale,Strata,45,"35,436",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
GRANDLINK SQUARE,"405,000",269.1,"1,505",19 Mar 2012,511 GUILLEMARD ROAD #03-14,Resale,Strata,25,"16,200",Office,Freehold,14,39,399849,Central Region,Geylang
PAYA LEBAR SQUARE,"1,230,000",721.19,"1,706",19 Mar 2012,60 PAYA LEBAR ROAD #07-07,New Sale,Strata,67,"18,358",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"876,000",484.38,"1,808",19 Mar 2012,60 PAYA LEBAR ROAD #10-04,New Sale,Strata,45,"19,467",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
TONG ENG BUILDING,"926,000",462.85,"2,001",19 Mar 2012,101 CECIL STREET #18-04,Resale,Strata,43,"21,535",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
CENTROPOD @ CHANGI,"811,600",473.62,"1,714",20 Mar 2012,80 CHANGI ROAD #04-23,New Sale,Strata,44,"18,445",Office,Freehold,14,41,419715,Central Region,Geylang
PAYA LEBAR SQUARE,"987,000",548.96,"1,798",20 Mar 2012,60 PAYA LEBAR ROAD #10-09,New Sale,Strata,51,"19,353",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,899,000","1,130.22","1,680",20 Mar 2012,60 PAYA LEBAR ROAD #06-08,New Sale,Strata,105,"18,086",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,381,257",419.8,"3,290",20 Mar 2012,100 PECK SEAH STREET #11-06,New Sale,Strata,39,"35,417",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
CENTROPOD @ CHANGI,"817,732",462.85,"1,767",20 Mar 2012,80 CHANGI ROAD #04-25,New Sale,Strata,43,"19,017",Office,Freehold,14,41,419715,Central Region,Geylang
PAYA LEBAR SQUARE,"981,000",538.2,"1,823",20 Mar 2012,60 PAYA LEBAR ROAD #10-53,New Sale,Strata,50,"19,620",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"966,000",538.2,"1,795",20 Mar 2012,60 PAYA LEBAR ROAD #09-41,New Sale,Strata,50,"19,320",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,450,053",473.62,"3,062",21 Mar 2012,100 PECK SEAH STREET #07-03,New Sale,Strata,44,"32,956",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PAYA LEBAR SQUARE,"967,000",538.2,"1,797",21 Mar 2012,60 PAYA LEBAR ROAD #09-42,New Sale,Strata,50,"19,340",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
CENTROPOD @ CHANGI,"773,000",473.62,"1,632",21 Mar 2012,80 CHANGI ROAD #04-11,New Sale,Strata,44,"17,568",Office,Freehold,14,41,419715,Central Region,Geylang
PS100,"1,567,754",473.62,"3,310",21 Mar 2012,100 PECK SEAH STREET #11-20,New Sale,Strata,44,"35,631",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,433,516",409.03,"3,505",21 Mar 2012,100 PECK SEAH STREET #11-11,New Sale,Strata,38,"37,724",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,435,933",473.62,"3,032",21 Mar 2012,100 PECK SEAH STREET #07-04,New Sale,Strata,44,"32,635",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
TONG ENG BUILDING,"998,000",462.85,"2,156",21 Mar 2012,101 CECIL STREET #17-04,Resale,Strata,43,"23,209",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
PAYA LEBAR SQUARE,"942,000",505.91,"1,862",21 Mar 2012,60 PAYA LEBAR ROAD #11-31,New Sale,Strata,47,"20,043",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"949,000",548.96,"1,729",22 Mar 2012,60 PAYA LEBAR ROAD #09-11,New Sale,Strata,51,"18,608",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
GRTH BUILDING,"76,100,000","39,686.87","1,918",22 Mar 2012,66 (ENBLOC) EAST COAST ROAD #03-00 ETC,Resale,Strata,"3,687","20,640",Office,Freehold,15,42,428778,Central Region,Marine Parade
PS100,"1,516,475",473.62,"3,202",22 Mar 2012,100 PECK SEAH STREET #11-04,New Sale,Strata,44,"34,465",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
CENTROPOD @ CHANGI,"781,500",473.62,"1,650",22 Mar 2012,80 CHANGI ROAD #03-13,New Sale,Strata,44,"17,761",Office,Freehold,14,41,419715,Central Region,Geylang
PS100,"1,525,716",441.32,"3,457",22 Mar 2012,100 PECK SEAH STREET #11-05,New Sale,Strata,41,"37,213",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,447,120",441.32,"3,279",22 Mar 2012,100 PECK SEAH STREET #09-04,New Sale,Strata,41,"35,296",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,468,210",473.62,"3,100",23 Mar 2012,100 PECK SEAH STREET #07-20,New Sale,Strata,44,"33,368",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,622,964",484.38,"3,351",23 Mar 2012,100 PECK SEAH STREET #09-12,New Sale,Strata,45,"36,066",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
ICB ENTERPRISE HOUSE,"1,100,000","1,097.93","1,002",23 Mar 2012,116 MIDDLE ROAD #08-01,Resale,Strata,102,"10,784",Office,99 yrs from 01/12/1974,07,18,188972,Central Region,Rochor
PS100,"1,468,890",441.32,"3,328",23 Mar 2012,100 PECK SEAH STREET #07-01,New Sale,Strata,41,"35,827",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
CENTROPOD @ CHANGI,"815,300",484.38,"1,683",23 Mar 2012,80 CHANGI ROAD #04-15,New Sale,Strata,45,"18,118",Office,Freehold,14,41,419715,Central Region,Geylang
PAYA LEBAR SQUARE,"985,000",548.96,"1,794",23 Mar 2012,60 PAYA LEBAR ROAD #09-09,New Sale,Strata,51,"19,314",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,235,780",721.19,"1,714",23 Mar 2012,60 PAYA LEBAR ROAD #09-07,New Sale,Strata,67,"18,444",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,463,470",473.62,"3,090",23 Mar 2012,100 PECK SEAH STREET #07-19,New Sale,Strata,44,"33,261",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
CENTROPOD @ CHANGI,"778,763",462.85,"1,683",23 Mar 2012,80 CHANGI ROAD #04-12,New Sale,Strata,43,"18,111",Office,Freehold,14,41,419715,Central Region,Geylang
FORTUNE CENTRE,"675,000",570.49,"1,183",23 Mar 2012,190 MIDDLE ROAD #12-08,Resale,Strata,53,"12,736",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
PAYA LEBAR SQUARE,"884,000",516.67,"1,711",23 Mar 2012,60 PAYA LEBAR ROAD #09-26,New Sale,Strata,48,"18,417",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,684,351",484.38,"3,477",23 Mar 2012,100 PECK SEAH STREET #11-09,New Sale,Strata,45,"37,430",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,710,181",516.67,"3,310",23 Mar 2012,100 PECK SEAH STREET #11-08,New Sale,Strata,48,"35,629",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,456,369",441.32,"3,300",26 Mar 2012,100 PECK SEAH STREET #09-17,New Sale,Strata,41,"35,521",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,451,744",441.32,"3,290",26 Mar 2012,100 PECK SEAH STREET #09-16,New Sale,Strata,41,"35,408",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PAYA LEBAR SQUARE,"1,624,500",947.23,"1,715",26 Mar 2012,60 PAYA LEBAR ROAD #09-02,New Sale,Strata,88,"18,460",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PEOPLE'S PARK CENTRE,"475,000",430.56,"1,103",26 Mar 2012,101A UPPER CROSS STREET #12-24,Resale,Strata,40,"11,875",Office,99 yrs from 02/06/1970,01,05,058358,Central Region,Outram
PS100,"1,440,642",441.32,"3,264",26 Mar 2012,100 PECK SEAH STREET #07-16,New Sale,Strata,41,"35,138",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,478,300",473.62,"3,121",26 Mar 2012,100 PECK SEAH STREET #08-19,New Sale,Strata,44,"33,598",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
CENTROPOD @ CHANGI,"828,334",473.62,"1,749",26 Mar 2012,80 CHANGI ROAD #04-22,New Sale,Strata,44,"18,826",Office,Freehold,14,41,419715,Central Region,Geylang
PS100,"1,419,379",441.32,"3,216",26 Mar 2012,100 PECK SEAH STREET #07-05,New Sale,Strata,41,"34,619",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PAYA LEBAR SQUARE,"1,577,000",958,"1,646",26 Mar 2012,60 PAYA LEBAR ROAD #04-05,New Sale,Strata,89,"17,719",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
N.A.,"2,380,000","1,076.4","2,211",26 Mar 2012,36 ARMENIAN STREET #03-07,Resale,Strata,100,"23,800",Office,99 yrs from 21/09/2007,06,17,179934,Central Region,Museum
PAYA LEBAR SQUARE,"1,001,000",548.96,"1,823",26 Mar 2012,60 PAYA LEBAR ROAD #10-16,New Sale,Strata,51,"19,627",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,306,140",387.5,"3,371",26 Mar 2012,100 PECK SEAH STREET #08-06,New Sale,Strata,36,"36,282",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
INTERNATIONAL PLAZA,"1,591,200",936.47,"1,699",26 Mar 2012,"10 ANSON ROAD #22-02,02A",Resale,Strata,87,"18,290",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
PAYA LEBAR SQUARE,"859,750",484.38,"1,775",26 Mar 2012,60 PAYA LEBAR ROAD #09-03,New Sale,Strata,45,"19,106",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"825,000",484.38,"1,703",26 Mar 2012,60 PAYA LEBAR ROAD #09-24,New Sale,Strata,45,"18,333",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,200,000",721.19,"1,664",26 Mar 2012,60 PAYA LEBAR ROAD #06-07,New Sale,Strata,67,"17,910",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
CENTROPOD @ CHANGI,"813,535",473.62,"1,718",26 Mar 2012,80 CHANGI ROAD #04-09,New Sale,Strata,44,"18,489",Office,Freehold,14,41,419715,Central Region,Geylang
PAYA LEBAR SQUARE,"1,079,100",645.84,"1,671",26 Mar 2012,60 PAYA LEBAR ROAD #09-19,New Sale,Strata,60,"17,985",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,089,650",635.08,"1,716",26 Mar 2012,60 PAYA LEBAR ROAD #09-01,New Sale,Strata,59,"18,469",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,451,300",441.32,"3,289",27 Mar 2012,100 PECK SEAH STREET #11-17,New Sale,Strata,41,"35,398",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PAYA LEBAR SQUARE,"836,000",484.38,"1,726",27 Mar 2012,60 PAYA LEBAR ROAD #09-21,New Sale,Strata,45,"18,578",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,104,000",645.84,"1,709",27 Mar 2012,60 PAYA LEBAR ROAD #10-19,New Sale,Strata,60,"18,400",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"867,000",484.38,"1,790",27 Mar 2012,60 PAYA LEBAR ROAD #09-06,New Sale,Strata,45,"19,267",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
N.A.,"3,020,000","1,528.49","1,976",27 Mar 2012,36 ARMENIAN STREET #03-03,Resale,Strata,142,"21,268",Office,99 yrs from 21/09/2007,06,17,179934,Central Region,Museum
PS100,"1,524,033",473.62,"3,218",27 Mar 2012,100 PECK SEAH STREET #09-20,New Sale,Strata,44,"34,637",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PAYA LEBAR SQUARE,"1,390,000",871.88,"1,594",27 Mar 2012,60 PAYA LEBAR ROAD #06-27,New Sale,Strata,81,"17,160",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,607,559",516.67,"3,111",27 Mar 2012,100 PECK SEAH STREET #08-12,New Sale,Strata,48,"33,491",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,446,900",441.32,"3,279",27 Mar 2012,100 PECK SEAH STREET #11-16,New Sale,Strata,41,"35,290",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,369,998",409.03,"3,349",27 Mar 2012,100 PECK SEAH STREET #11-10,New Sale,Strata,38,"36,053",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PAYA LEBAR SQUARE,"1,145,000",635.08,"1,803",28 Mar 2012,60 PAYA LEBAR ROAD #11-01,New Sale,Strata,59,"19,407",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,282,676",387.5,"3,310",28 Mar 2012,100 PECK SEAH STREET #09-15,New Sale,Strata,36,"35,630",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PAYA LEBAR SQUARE,"956,340",538.2,"1,777",28 Mar 2012,60 PAYA LEBAR ROAD #09-10,New Sale,Strata,50,"19,127",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,588,580",958,"1,658",28 Mar 2012,60 PAYA LEBAR ROAD #09-23,New Sale,Strata,89,"17,849",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,376,928",387.5,"3,553",28 Mar 2012,100 PECK SEAH STREET #11-15,New Sale,Strata,36,"38,248",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,668,853",484.38,"3,445",28 Mar 2012,100 PECK SEAH STREET #11-14,New Sale,Strata,45,"37,086",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PEOPLE'S PARK COMPLEX,"685,000",333.68,"2,053",28 Mar 2012,1 PARK ROAD #03-39,Resale,Strata,31,"22,097",Office,99 yrs from 25/03/1968,01,05,059108,Central Region,Outram
PS100,"1,612,018",484.38,"3,328",28 Mar 2012,100 PECK SEAH STREET #09-07,New Sale,Strata,45,"35,823",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,533,285",516.67,"2,968",28 Mar 2012,100 PECK SEAH STREET #07-07,New Sale,Strata,48,"31,943",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,292,451",409.03,"3,160",28 Mar 2012,100 PECK SEAH STREET #08-10,New Sale,Strata,38,"34,012",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PAYA LEBAR SQUARE,"3,380,000","2,077.45","1,627",28 Mar 2012,60 PAYA LEBAR ROAD #06-29,New Sale,Strata,193,"17,513",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,610,291",484.38,"3,324",28 Mar 2012,100 PECK SEAH STREET #08-09,New Sale,Strata,45,"35,784",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PAYA LEBAR SQUARE,"1,550,000",947.23,"1,636",28 Mar 2012,60 PAYA LEBAR ROAD #04-02,New Sale,Strata,88,"17,614",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,483,010",473.62,"3,131",28 Mar 2012,100 PECK SEAH STREET #08-20,New Sale,Strata,44,"33,705",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,465,618",441.32,"3,321",29 Mar 2012,100 PECK SEAH STREET #09-02,New Sale,Strata,41,"35,747",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,460,994",473.62,"3,085",29 Mar 2012,100 PECK SEAH STREET #09-03,New Sale,Strata,44,"33,204",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PAYA LEBAR SQUARE,"1,745,380","1,044.11","1,672",29 Mar 2012,60 PAYA LEBAR ROAD #07-57,New Sale,Strata,97,"17,994",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PS100,"1,465,618",441.32,"3,321",29 Mar 2012,100 PECK SEAH STREET #08-01,New Sale,Strata,41,"35,747",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PS100,"1,451,744",441.32,"3,290",29 Mar 2012,100 PECK SEAH STREET #08-02,New Sale,Strata,41,"35,408",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
