Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PAYA LEBAR SQUARE,"968,000",484.38,"1,998",16 Nov 2018,60 PAYA LEBAR ROAD #09-21,Resale,Strata,45,"21,511",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PENINSULA PLAZA,"5,940,000","2,970.86","1,999",19 Nov 2018,"111 NORTH BRIDGE ROAD #13-01,02",Resale,Strata,276,"21,522",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
THE CENTRAL,"1,580,000",635.08,"2,488",19 Nov 2018,12 EU TONG SEN STREET #07-167,Resale,Strata,59,"26,780",Office,99 yrs from 02/01/2001,01,05,059819,Central Region,Singapore River
GOLDEN WALL CENTRE,"276,200,000","24,239.45","11,395",23 Nov 2018,"89 ENBLOC SHORT STREET #01-01,04,05 ETC",Resale,Land,"2,251.9","122,652",Office,Freehold,07,18,188216,Central Region,Rochor
SHENTON HOUSE,"1,680,000","1,140.98","1,472",23 Nov 2018,3 SHENTON WAY #03-07,Resale,Strata,106,"15,849",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
TANGLIN SHOPPING CENTRE,"942,000",344.45,"2,735",23 Nov 2018,19 TANGLIN ROAD #06-54,Resale,Strata,32,"29,438",Office,Freehold,10,24,247909,Central Region,Orchard
SIM LIM TOWER,"1,596,000",839.59,"1,901",26 Nov 2018,10 JALAN BESAR #12-04,Resale,Strata,78,"20,462",Office,Freehold,08,20,208787,Central Region,Rochor
INTERNATIONAL PLAZA,"322,920",161.46,"2,000",27 Nov 2018,10 ANSON ROAD #30-18,Resale,Strata,15,"21,528",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
GUTHRIE BUILDING,"2,048,389","1,862.17","1,100",29 Nov 2018,150 CHANGI ROAD #03-06,Resale,Strata,173,"11,840",Office,Freehold,14,41,419973,Central Region,Geylang
INTERNATIONAL PLAZA,"994,600",473.62,"2,100",30 Nov 2018,10 ANSON ROAD #10-01,Resale,Strata,44,"22,605",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
INTERNATIONAL PLAZA,"971,990",462.85,"2,100",30 Nov 2018,10 ANSON ROAD #10-02,Resale,Strata,43,"22,604",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
HIGH STREET CENTRE,"360,000",269.1,"1,338",30 Nov 2018,1 NORTH BRIDGE ROAD #B1-28,Resale,Strata,25,"14,400",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
SOUTHBANK,"1,398,000",914.94,"1,528",03 Dec 2018,883 NORTH BRIDGE ROAD #03-05,Resale,Strata,85,"16,447",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
GOLDEN MILE TOWER,"639,000",355.21,"1,799",03 Dec 2018,6001 BEACH ROAD #01-38,Resale,Strata,33,"19,364",Office,99 yrs from 09/06/1969,07,19,199589,Central Region,Kallang
THE PROMENADE@PELIKAT,"310,999",161.46,"1,926",04 Dec 2018,183 JALAN PELIKAT #B2-10,Resale,Strata,15,"20,733",Office,Freehold,19,53,537643,North East Region,Hougang
HIGH STREET CENTRE,"1,493,400",785.77,"1,901",05 Dec 2018,1 NORTH BRIDGE ROAD #11-10,Resale,Strata,73,"20,458",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
HIGH STREET PLAZA,"1,040,000",452.09,"2,300",05 Dec 2018,77 HIGH STREET #03-17,Resale,Strata,42,"24,762",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
TEXTILE CENTRE,"838,000",882.65,949,05 Dec 2018,200 JALAN SULTAN #09-07,Resale,Strata,82,"10,220",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
INTERNATIONAL PLAZA,"2,485,000","1,453.14","1,710",05 Dec 2018,10 ANSON ROAD #17-12,Resale,Strata,135,"18,407",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
ROBINSON SQUARE,"3,200,000","1,184.04","2,703",07 Dec 2018,144 ROBINSON ROAD #13-02,Resale,Strata,110,"29,091",Office,Freehold,01,06,068908,Central Region,Downtown Core
BUKIT TIMAH SHOPPING CENTRE,"565,000",161.46,"3,499",10 Dec 2018,170 UPPER BUKIT TIMAH ROAD #02-13,Resale,Strata,15,"37,667",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
CHINATOWN POINT,"2,800,000","1,442.38","1,941",10 Dec 2018,"133 NEW BRIDGE ROAD #08-05,06",Resale,Strata,134,"20,896",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
SUNTEC TOWER THREE,"6,569,900","2,066.69","3,179",11 Dec 2018,8 TEMASEK BOULEVARD #43-03,Resale,Strata,192,"34,218",Office,99 yrs from 01/03/1989,01,03,038988,Central Region,Downtown Core
PS100,"1,150,000",473.62,"2,428",12 Dec 2018,100 PECK SEAH STREET #08-16,Resale,Strata,44,"26,136",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PEOPLE'S PARK CENTRE,"850,000",387.5,"2,194",13 Dec 2018,101 UPPER CROSS STREET #03-85,Resale,Strata,36,"23,611",Office,99 yrs from 02/06/1970,01,05,058357,Central Region,Outram
CAVAN SUITES,"918,000",387.5,"2,369",14 Dec 2018,11 CAVAN ROAD #01-02,Resale,Strata,36,"25,500",Office,Freehold,08,20,209848,Central Region,Kallang
REGENCY SUITES,"1,609,000","1,001.05","1,607",17 Dec 2018,38 KIM TIAN ROAD #06-09,Resale,Strata,93,"17,301",Office,Freehold,03,16,169262,Central Region,Bukit Merah
GOLDEN MILE TOWER,"478,000",236.81,"2,019",19 Dec 2018,6001 BEACH ROAD #01-04,Resale,Strata,22,"21,727",Office,99 yrs from 09/06/1969,07,19,199589,Central Region,Kallang
THE CENTRAL,"2,222,400",925.7,"2,401",19 Dec 2018,8 EU TONG SEN STREET #20-85,Resale,Strata,86,"25,842",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
HIGH STREET PLAZA,"1,580,000",775.01,"2,039",20 Dec 2018,77 HIGH STREET #03-06,Resale,Strata,72,"21,944",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
