Project Name,block_address,query_used,lat,lon,matched_address
CHINATOWN POINT,133 NEW BRIDGE ROAD,133 NEW BRIDGE ROAD,1.28533894878838,103.845015574621,133 NEW BRIDGE ROAD CHINATOWN LIBRARY SINGAPORE 059413
SOUTHBANK,883 NORTH BRIDGE ROAD,883 NORTH BRIDGE ROAD,1.30631203140306,103.86430833471,883 NORTH BRIDGE ROAD SOUTHBANK SINGAPORE 198785
CHOW HOUSE,140 ROBINSON ROAD,140 ROBINSON ROAD,1.27840697711555,103.848235943353,140 ROBINSON ROAD TAHIR BUILDING SINGAPORE 068907
TOWNSHEND BUILDING,54 MAUDE ROAD,54 MAUDE ROAD,1.30817285974835,103.858435880148,54 MAUDE ROAD TOWNSHEND BUILDING SINGAPORE 208346
ROXY SQUARE,50 EAST COAST ROAD,50 EAST COAST ROAD,1.30335696401522,103.904685504029,50 EAST COAST ROAD GRAND MERCURE ROXY HOTEL SINGAPORE 428769
SAMSUNG HUB,3 CHURCH STREET,3 CHURCH STREET,1.2832632231733,103.849626546611,3 CHURCH STREET SAMSUNG HUB SINGAPORE 049483
BUKIT TIMAH SHOPPING CENTRE,170 UPPER BUKIT TIMAH ROAD,170 UPPER BUKIT TIMAH ROAD,1.34316475341698,103.776031354379,170 UPPER BUKIT TIMAH ROAD BUKIT TIMAH SHOPPING CENTRE SINGAPORE 588179
LOFT @ NATHAN,428 RIVER VALLEY ROAD,428 RIVER VALLEY ROAD,1.29446098581955,103.8276209036,428 RIVER VALLEY ROAD LOFT @ NATHAN SINGAPORE 248327
GB BUILDING,143 CECIL STREET,143 CECIL STREET,1.27875862730082,103.848069533957,143 CECIL STREET GB BUILDING SINGAPORE 069542
BYLANDS BUILDING,135 MIDDLE ROAD,135 MIDDLE ROAD,1.2992611756542,103.852615359763,135 MIDDLE ROAD BYLANDS BUILDING SINGAPORE 188975
THE 101,101 BEACH ROAD,101 BEACH ROAD,1.29775245086994,103.856949531399,101 BEACH ROAD THE 101 SINGAPORE 189703
TELOK BLANGAH HOUSE,52 TELOK BLANGAH ROAD,52 TELOK BLANGAH ROAD,1.26617727280392,103.823388742056,52 TELOK BLANGAH ROAD TELOK BLANGAH HOUSE SINGAPORE 098829
BALESTIER POINT,279 BALESTIER ROAD,279 BALESTIER ROAD,1.32281193728737,103.852026274201,279 BALESTIER ROAD BALESTIER POINT SINGAPORE 329727
MAXWELL HOUSE,20 MAXWELL ROAD,20 MAXWELL ROAD,,,
CHEVRON HOUSE,30 RAFFLES PLACE,30 RAFFLES PLACE,1.28419337002984,103.851954013719,30 RAFFLES PLACE BNI TOWER SINGAPORE 048622
THE SUNFLOWER,510 GEYLANG ROAD,510 GEYLANG ROAD,1.31351033747396,103.885333650797,510 GEYLANG ROAD THE SUNFLOWER SINGAPORE 389466
PEK CHUAN BUILDING,116 LAVENDER STREET,116 LAVENDER STREET,1.31189484266367,103.862362684962,116 LAVENDER STREET PEK CHUAN BUILDING SINGAPORE 338730
BUKIT TIMAH PLAZA,1 JALAN ANAK BUKIT,1 JALAN ANAK BUKIT,1.33875930729064,103.778600077834,1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588996
