Project Name,block_address,query_used,lat,lon,matched_address
LIBERTY HOUSE,51 CLUB STREET,51 CLUB STREET,1.28195427575105,103.846007309767,51 CLUB STREET UNION HOUSE SINGAPORE 069428
N.A.,258 JALAN BESAR,258 JALAN BESAR,1.30992494776752,103.858481909879,258 JALAN BESAR SINGAPORE 208933
SUNHAVEN,781 UPPER CHANGI ROAD EAST,781 UPPER CHANGI ROAD EAST,1.34813938708512,103.962084910434,781 UPPER CHANGI ROAD EAST SUNHAVEN SINGAPORE 486069
NOMU,20 HANDY ROAD,20 HANDY ROAD,1.2998091733077,103.846962853661,20 HANDY ROAD NOMU SINGAPORE 229236
VIVA VISTA,3 SOUTH BUONA VISTA ROAD,3 SOUTH BUONA VISTA ROAD,1.27980322314972,103.78590960328,3 SOUTH BUONA VISTA ROAD VIVA VISTA SINGAPORE 118136
ONE CLAYMORE,1 CLAYMORE DRIVE,1 CLAYMORE DRIVE,1.30756236897064,103.829352193027,1 CLAYMORE DRIVE EMBASSY OF ROMANIA SINGAPORE 229594
VISIONCREST,103 PENANG ROAD,103 PENANG ROAD,1.29910790069205,103.842700035576,103 PENANG ROAD VISIONCREST SINGAPORE 238467
N.A.,55 LORONG L TELOK KURAU,55 LORONG L TELOK KURAU,1.3118205086709,103.910557235164,55 LORONG L TELOK KURAU BRIGHT CENTRE SINGAPORE 425500
NEW WORLD CENTRE,1 JALAN BERSEH,1 JALAN BERSEH,1.30778509510261,103.857010982845,1 JALAN BERSEH SINGAPORE 209037
WILMER PLACE,50 ARMENIAN STREET,50 ARMENIAN STREET,1.29436707678809,103.849678556536,50 ARMENIAN STREET WILMER PLACE SINGAPORE 179938
MAPLETREE ANSON,60 ANSON ROAD,60 ANSON ROAD,1.27481626802236,103.845177360665,60 ANSON ROAD SINGAPORE 079914
N.A.,20 HARBOUR DRIVE,20 HARBOUR DRIVE,1.28308482616916,103.779351452161,20 HARBOUR DRIVE SINGAPORE 117612
TRIO,11 SAM LEONG ROAD,11 SAM LEONG ROAD,1.3090777890253,103.856932443349,11 SAM LEONG ROAD TRIO SINGAPORE 207903
ASCENT @ 456,456 BALESTIER ROAD,456 BALESTIER ROAD,1.32657360790909,103.848359893837,456 BALESTIER ROAD ASCENT @ 456 SINGAPORE 329832
ONE SOPHIA,1 SOPHIA ROAD,1 SOPHIA ROAD,1.30121862271795,103.849592475825,1 SOPHIA ROAD ONE SOPHIA SINGAPORE 228149
TOKIO MARINE CENTRE,20 MCCALLUM STREET,20 MCCALLUM STREET,1.27958236092444,103.847918363171,20 MCCALLUM STREET TOKIO MARINE CENTRE SINGAPORE 069046
20 COLLYER QUAY,20 COLLYER QUAY,20 COLLYER QUAY,1.28468928277083,103.852692297865,20 COLLYER QUAY 20 COLLYER QUAY SINGAPORE 049319
THE GOLDEN MILE,800 BEACH ROAD,800 BEACH ROAD,1.30267575412705,103.865061686677,800 BEACH ROAD THE GOLDEN MILE SINGAPORE 199979
N.A.,80 JALAN SENANG,80 JALAN SENANG,1.32598286142663,103.916424224823,80 JALAN SENANG SINGAPORE 418433
SGX CENTRE 2,4 SHENTON WAY,4 SHENTON WAY,1.27927719519315,103.849796993929,4 SHENTON WAY SGX CENTRE SINGAPORE 068807
JUNCTION NINE,18 YISHUN AVENUE 9,18 YISHUN AVENUE 9,1.4331228398318,103.84166098599,18 YISHUN AVENUE 9 JUNCTION NINE SINGAPORE 768897
PAVILION SQUARE,345 GEYLANG ROAD,345 GEYLANG ROAD,1.31297800060859,103.879770800217,345 GEYLANG ROAD PAVILION SQUARE SINGAPORE 389366
WING FONG BUILDING,5B GUILLEMARD ROAD,5B GUILLEMARD ROAD,1.30888641448774,103.87726882556,5B GUILLEMARD ROAD WING FONG BUILDING SINGAPORE 399685
WISMA ATRIA,435 ORCHARD ROAD,435 ORCHARD ROAD,1.30369890679412,103.833189592785,435 ORCHARD ROAD EMBASSY OF THE REPUBLIC OF POLAND SINGAPORE 238877
BUKIT PASOH BUILDING,3 BUKIT PASOH ROAD,3 BUKIT PASOH ROAD,1.2785892985582,103.840743458366,3 BUKIT PASOH ROAD BUKIT PASOH BUILDING SINGAPORE 089817
GOLDHILL SHOPPING CENTRE,181B THOMSON ROAD,181B THOMSON ROAD,1.3184407784765,103.843615995542,181B THOMSON ROAD GOLDHILL SHOPPING CENTRE SINGAPORE 307627
KINDOL GARDENS,69 JALAN MALU-MALU,69 JALAN MALU-MALU,1.44381831625272,103.825776599411,69 JALAN MALU-MALU KINDOL GARDENS SINGAPORE 769683
REHAU BUILDING,1 KING GEORGE'S AVENUE,1 KING GEORGE'S AVENUE,1.30714018450423,103.858643250322,1 KING GEORGE'S AVENUE REHAU BUILDING SINGAPORE 208557
N.A.,111 DEVONSHIRE ROAD,111 DEVONSHIRE ROAD,1.29972188487555,103.836622472407,111 DEVONSHIRE ROAD SINGAPORE 239877
