quarter,industry1,industry2,industry3,employment_change,,,,,,
1993-Q4,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.2,,,,,,
1993-Q4,manufacturing,fabricated metal products,fabricated metal products,-,,,,,,
1993-Q4,manufacturing,machinery and equipment,machinery and equipment,-,,,,,,
1993-Q4,manufacturing,electrical products,electrical products,0.1,,,,,,
1993-Q4,manufacturing,electronic products,electronic products,0.2,,,,,,
1993-Q4,manufacturing,medical and precision instruments,medical and precision instruments,0.2,,,,,,
1993-Q4,manufacturing,transport equipment,transport equipment,1,,,,,,
1993-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-,,,,,,
1993-Q4,construction,construction,construction,6.5,,,,,,
1993-Q4,services,wholesale and retail trade,wholesale trade,2.5,,,,,,
1993-Q4,services,wholesale and retail trade,retail trade,1.9,,,,,,
1993-Q4,services,"transport, storage and communications","transport, storage and communications",1,,,,,,
1993-Q4,services,financial services,financial institutions,1.5,,,,,,
1993-Q4,services,financial services,insurance,-,,,,,,
1993-Q4,services,business and real estate services,business and real estate services,1.1,,,,,,
1993-Q4,services,"community, social and personal services",public administration,n.a.,,,,,,
1993-Q4,services,"community, social and personal services",education,n.a.,,,,,,
1993-Q4,services,"community, social and personal services",health and social work,0.7,,,,,,
1993-Q4,services,"community, social and personal services","other community, social and personal services",4.1,,,,,,
1993-Q4,others,others,others,0.2,,,,,,
1994-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1,,,,,,
1994-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.9,,,,,,
1994-Q1,manufacturing,paper products and publishing,paper products and publishing,0.2,,,,,,
1994-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.1,,,,,,
1994-Q1,manufacturing,fabricated metal products,fabricated metal products,-0.4,,,,,,
1994-Q1,manufacturing,machinery and equipment,machinery and equipment,0.6,,,,,,
1994-Q1,manufacturing,electrical products,electrical products,0.2,,,,,,
1994-Q1,manufacturing,electronic products,electronic products,1.3,,,,,,
1994-Q1,manufacturing,medical and precision instruments,medical and precision instruments,-0.4,,,,,,
1994-Q1,manufacturing,transport equipment,transport equipment,0.8,,,,,,
1994-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.1,,,,,,
