quarter,industry1,industry2,industry3,employment_change,,,,,,
2009-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-5.1,,,,,,
2009-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-8,,,,,,
2009-Q1,manufacturing,transport equipment,transport equipment,-9.5,,,,,,
2009-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-1.2,,,,,,
2009-Q1,construction,construction,construction,8.2,,,,,,
2009-Q1,services,wholesale and retail trade,wholesale trade,0.1,,,,,,
2009-Q1,services,wholesale and retail trade,retail trade,-0.7,,,,,,
2009-Q1,services,transportation and storage,land transport and supporting services,0.3,,,,,,
2009-Q1,services,transportation and storage,water transport and supporting services,-0.3,,,,,,
2009-Q1,services,transportation and storage,air transport and supporting services,-,,,,,,
2009-Q1,services,transportation and storage,other transportation and storage services,-1.6,,,,,,
2009-Q1,services,accommodation and food services,accommodation,-2.5,,,,,,
2009-Q1,services,accommodation and food services,food and beverage services,-0.2,,,,,,
2009-Q1,services,information and communications,"telecommunications, broadcasting and publishing",-,,,,,,
2009-Q1,services,information and communications,it and other information services,0.7,,,,,,
2009-Q1,services,financial and insurance services,financial services,-1.5,,,,,,
2009-Q1,services,financial and insurance services,insurance services,0.3,,,,,,
2009-Q1,services,real estate services,real estate services,0.9,,,,,,
2009-Q1,services,professional services,"legal, accounting and management services",0.1,,,,,,
2009-Q1,services,professional services,architectural and engineering services,0.3,,,,,,
2009-Q1,services,professional services,other professional services,-0.1,,,,,,
2009-Q1,services,administrative and support services,security and investigation,1.3,,,,,,
2009-Q1,services,administrative and support services,cleaning and landscaping,1.5,,,,,,
2009-Q1,services,administrative and support services,other administrative and support services,-1,,,,,,
2009-Q1,services,"community, social and personal services",public administration,4.2,,,,,,
2009-Q1,services,"community, social and personal services",education,2.2,,,,,,
2009-Q1,services,"community, social and personal services",health and social services,1.2,,,,,,
2009-Q1,services,"community, social and personal services","arts, entertainment and recreation",0.2,,,,,,
2009-Q1,services,"community, social and personal services","other community, social and personal services",2.9,,,,,,
2009-Q1,others,others,others,-0.2,,,,,,
2009-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2,,,,,,
2009-Q2,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-1.4,,,,,,
2009-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",1.7,,,,,,
2009-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-3.5,,,,,,
2009-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-4,,,,,,
2009-Q2,manufacturing,transport equipment,transport equipment,-8.5,,,,,,
2009-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-0.7,,,,,,
2009-Q2,construction,construction,construction,4.1,,,,,,
2009-Q2,services,wholesale and retail trade,wholesale trade,-1.2,,,,,,
2009-Q2,services,wholesale and retail trade,retail trade,-0.4,,,,,,
2009-Q2,services,transportation and storage,land transport and supporting services,-0.3,,,,,,
2009-Q2,services,transportation and storage,water transport and supporting services,-0.2,,,,,,
2009-Q2,services,transportation and storage,air transport and supporting services,-0.9,,,,,,
2009-Q2,services,transportation and storage,other transportation and storage services,-0.4,,,,,,
2009-Q2,services,accommodation and food services,accommodation,-0.7,,,,,,
2009-Q2,services,accommodation and food services,food and beverage services,-0.9,,,,,,
2009-Q2,services,information and communications,"telecommunications, broadcasting and publishing",0.1,,,,,,
2009-Q2,services,information and communications,it and other information services,0.3,,,,,,
2009-Q2,services,financial and insurance services,financial services,-0.6,,,,,,
2009-Q2,services,financial and insurance services,insurance services,0.2,,,,,,
2009-Q2,services,real estate services,real estate services,0.5,,,,,,
2009-Q2,services,professional services,"legal, accounting and management services",0.4,,,,,,
2009-Q2,services,professional services,architectural and engineering services,0.7,,,,,,
2009-Q2,services,professional services,other professional services,-0.2,,,,,,
2009-Q2,services,administrative and support services,security and investigation,0.9,,,,,,
2009-Q2,services,administrative and support services,cleaning and landscaping,-0.1,,,,,,
2009-Q2,services,administrative and support services,other administrative and support services,1.4,,,,,,
2009-Q2,services,"community, social and personal services",public administration,0.6,,,,,,
2009-Q2,services,"community, social and personal services",education,1.3,,,,,,
2009-Q2,services,"community, social and personal services",health and social services,2.3,,,,,,
2009-Q2,services,"community, social and personal services","arts, entertainment and recreation",1.1,,,,,,
2009-Q2,services,"community, social and personal services","other community, social and personal services",0.9,,,,,,
2009-Q2,others,others,others,-0.5,,,,,,
2009-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3,,,,,,
2009-Q3,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.3,,,,,,
2009-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",0.9,,,,,,
2009-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-1.4,,,,,,
2009-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",0.5,,,,,,
2009-Q3,manufacturing,transport equipment,transport equipment,-4.8,,,,,,
2009-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-0.6,,,,,,
2009-Q3,construction,construction,construction,7.1,,,,,,
2009-Q3,services,wholesale and retail trade,wholesale trade,0.8,,,,,,
2009-Q3,services,wholesale and retail trade,retail trade,-,,,,,,
2009-Q3,services,transportation and storage,land transport and supporting services,-0.1,,,,,,
2009-Q3,services,transportation and storage,water transport and supporting services,0.3,,,,,,
2009-Q3,services,transportation and storage,air transport and supporting services,1.1,,,,,,
2009-Q3,services,transportation and storage,other transportation and storage services,-0.7,,,,,,
2009-Q3,services,accommodation and food services,accommodation,0.7,,,,,,
2009-Q3,services,accommodation and food services,food and beverage services,-0.3,,,,,,
2009-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.3,,,,,,
2009-Q3,services,information and communications,it and other information services,0.6,,,,,,
2009-Q3,services,financial and insurance services,financial services,1.2,,,,,,
2009-Q3,services,financial and insurance services,insurance services,0.2,,,,,,
2009-Q3,services,real estate services,real estate services,1,,,,,,
2009-Q3,services,professional services,"legal, accounting and management services",0.5,,,,,,
2009-Q3,services,professional services,architectural and engineering services,0.7,,,,,,
2009-Q3,services,professional services,other professional services,-0.1,,,,,,
2009-Q3,services,administrative and support services,security and investigation,0.5,,,,,,
2009-Q3,services,administrative and support services,cleaning and landscaping,-0.2,,,,,,
2009-Q3,services,administrative and support services,other administrative and support services,-0.1,,,,,,
2009-Q3,services,"community, social and personal services",public administration,1.1,,,,,,
2009-Q3,services,"community, social and personal services",education,1.1,,,,,,
2009-Q3,services,"community, social and personal services",health and social services,1.2,,,,,,
2009-Q3,services,"community, social and personal services","arts, entertainment and recreation",1.3,,,,,,
2009-Q3,services,"community, social and personal services","other community, social and personal services",1.3,,,,,,
2009-Q3,others,others,others,-0.1,,,,,,
2009-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4,,,,,,
2009-Q4,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-,,,,,,
2009-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",1.1,,,,,,
2009-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-,,,,,,
2009-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1.3,,,,,,
2009-Q4,manufacturing,transport equipment,transport equipment,-1.7,,,,,,
2009-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.3,,,,,,
2009-Q4,construction,construction,construction,4.7,,,,,,
2009-Q4,services,wholesale and retail trade,wholesale trade,2.3,,,,,,
2009-Q4,services,wholesale and retail trade,retail trade,3.9,,,,,,
2009-Q4,services,transportation and storage,land transport and supporting services,0.9,,,,,,
2009-Q4,services,transportation and storage,water transport and supporting services,-0.1,,,,,,
2009-Q4,services,transportation and storage,air transport and supporting services,-0.3,,,,,,
2009-Q4,services,transportation and storage,other transportation and storage services,-0.3,,,,,,
2009-Q4,services,accommodation and food services,accommodation,1.3,,,,,,
2009-Q4,services,accommodation and food services,food and beverage services,4.8,,,,,,
2009-Q4,services,information and communications,"telecommunications, broadcasting and publishing",0.2,,,,,,
2009-Q4,services,information and communications,it and other information services,0.6,,,,,,
2009-Q4,services,financial and insurance services,financial services,1.5,,,,,,
2009-Q4,services,financial and insurance services,insurance services,0.2,,,,,,
2009-Q4,services,real estate services,real estate services,0.2,,,,,,
2009-Q4,services,professional services,"legal, accounting and management services",0.9,,,,,,
2009-Q4,services,professional services,architectural and engineering services,0.5,,,,,,
2009-Q4,services,professional services,other professional services,0.7,,,,,,
2009-Q4,services,administrative and support services,security and investigation,-0.3,,,,,,
2009-Q4,services,administrative and support services,cleaning and landscaping,0.8,,,,,,
2009-Q4,services,administrative and support services,other administrative and support services,3,,,,,,
2009-Q4,services,"community, social and personal services",public administration,0.4,,,,,,
2009-Q4,services,"community, social and personal services",education,1.1,,,,,,
2009-Q4,services,"community, social and personal services",health and social services,0.9,,,,,,
2009-Q4,services,"community, social and personal services","arts, entertainment and recreation",5.2,,,,,,
2009-Q4,services,"community, social and personal services","other community, social and personal services",3.1,,,,,,
2009-Q4,others,others,others,-0.2,,,,,,
2010-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.9,,,,,,
2010-Q1,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,3.5,,,,,,
2010-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-0.7,,,,,,
2010-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-,,,,,,
2010-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",2.4,,,,,,
2010-Q1,manufacturing,transport equipment,transport equipment,0.6,,,,,,
2010-Q1,manufacturing,other manufacturing industries,other manufacturing industries,0.9,,,,,,
2010-Q1,construction,construction,construction,-2.5,,,,,,
2010-Q1,services,wholesale and retail trade,wholesale trade,1.8,,,,,,
2010-Q1,services,wholesale and retail trade,retail trade,0.2,,,,,,
2010-Q1,services,transportation and storage,land transport and supporting services,0.6,,,,,,
2010-Q1,services,transportation and storage,water transport and supporting services,0.2,,,,,,
2010-Q1,services,transportation and storage,air transport and supporting services,-,,,,,,
2010-Q1,services,transportation and storage,other transportation and storage services,0.6,,,,,,
2010-Q1,services,accommodation and food services,accommodation,2.2,,,,,,
2010-Q1,services,accommodation and food services,food and beverage services,0.6,,,,,,
2010-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.2,,,,,,
2010-Q1,services,information and communications,it and other information services,2,,,,,,
2010-Q1,services,financial and insurance services,financial services,-2.4,,,,,,
2010-Q1,services,financial and insurance services,insurance services,0.1,,,,,,
2010-Q1,services,real estate services,real estate services,1.1,,,,,,
2010-Q1,services,professional services,"legal, accounting and management services",-,,,,,,
2010-Q1,services,professional services,architectural and engineering services,1.8,,,,,,
2010-Q1,services,professional services,other professional services,0.3,,,,,,
2010-Q1,services,administrative and support services,security and investigation,0.9,,,,,,
2010-Q1,services,administrative and support services,cleaning and landscaping,1.1,,,,,,
2010-Q1,services,administrative and support services,other administrative and support services,4,,,,,,
2010-Q1,services,"community, social and personal services",public administration,2.9,,,,,,
2010-Q1,services,"community, social and personal services",education,1,,,,,,
2010-Q1,services,"community, social and personal services",health and social services,2.3,,,,,,
2010-Q1,services,"community, social and personal services","arts, entertainment and recreation",5.1,,,,,,
2010-Q1,services,"community, social and personal services","other community, social and personal services",5.2,,,,,,
2010-Q1,others,others,others,-0.3,,,,,,
2010-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2,,,,,,
2010-Q2,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,0.1,,,,,,
2010-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-0.8,,,,,,
2010-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1,,,,,,
2010-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1.8,,,,,,
2010-Q2,manufacturing,transport equipment,transport equipment,-4,,,,,,
2010-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.7,,,,,,
2010-Q2,construction,construction,construction,1.6,,,,,,
2010-Q2,services,wholesale and retail trade,wholesale trade,2.5,,,,,,
2010-Q2,services,wholesale and retail trade,retail trade,-1,,,,,,
2010-Q2,services,transportation and storage,land transport and supporting services,0.5,,,,,,
2010-Q2,services,transportation and storage,water transport and supporting services,0.4,,,,,,
2010-Q2,services,transportation and storage,air transport and supporting services,0.3,,,,,,
2010-Q2,services,transportation and storage,other transportation and storage services,0.6,,,,,,
2010-Q2,services,accommodation and food services,accommodation,0.6,,,,,,
2010-Q2,services,accommodation and food services,food and beverage services,0.3,,,,,,
2010-Q2,services,information and communications,"telecommunications, broadcasting and publishing",0.5,,,,,,
2010-Q2,services,information and communications,it and other information services,1.7,,,,,,
2010-Q2,services,financial and insurance services,financial services,2.5,,,,,,
2010-Q2,services,financial and insurance services,insurance services,0.6,,,,,,
2010-Q2,services,real estate services,real estate services,-0.4,,,,,,
2010-Q2,services,professional services,"legal, accounting and management services",2.5,,,,,,
2010-Q2,services,professional services,architectural and engineering services,0.5,,,,,,
2010-Q2,services,professional services,other professional services,1,,,,,,
2010-Q2,services,administrative and support services,security and investigation,-0.1,,,,,,
2010-Q2,services,administrative and support services,cleaning and landscaping,0.5,,,,,,
2010-Q2,services,administrative and support services,other administrative and support services,3.2,,,,,,
2010-Q2,services,"community, social and personal services",public administration,-0.4,,,,,,
2010-Q2,services,"community, social and personal services",education,1.8,,,,,,
2010-Q2,services,"community, social and personal services",health and social services,2.4,,,,,,
2010-Q2,services,"community, social and personal services","arts, entertainment and recreation",3.1,,,,,,
2010-Q2,services,"community, social and personal services","other community, social and personal services",0.9,,,,,,
2010-Q2,others,others,others,-,,,,,,
2010-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3,,,,,,
2010-Q3,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-,,,,,,
2010-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",0.1,,,,,,
2010-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1.7,,,,,,
2010-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1.1,,,,,,
2010-Q3,manufacturing,transport equipment,transport equipment,-3.3,,,,,,
2010-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.2,,,,,,
2010-Q3,construction,construction,construction,0.3,,,,,,
2010-Q3,services,wholesale and retail trade,wholesale trade,3,,,,,,
2010-Q3,services,wholesale and retail trade,retail trade,-0.7,,,,,,
2010-Q3,services,transportation and storage,land transport and supporting services,0.4,,,,,,
2010-Q3,services,transportation and storage,water transport and supporting services,0.3,,,,,,
2010-Q3,services,transportation and storage,air transport and supporting services,1.1,,,,,,
2010-Q3,services,transportation and storage,other transportation and storage services,-0.2,,,,,,
2010-Q3,services,accommodation and food services,accommodation,1.2,,,,,,
2010-Q3,services,accommodation and food services,food and beverage services,1.2,,,,,,
2010-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.6,,,,,,
2010-Q3,services,information and communications,it and other information services,1.9,,,,,,
2010-Q3,services,financial and insurance services,financial services,3.3,,,,,,
2010-Q3,services,financial and insurance services,insurance services,0.3,,,,,,
2010-Q3,services,real estate services,real estate services,-,,,,,,
2010-Q3,services,professional services,"legal, accounting and management services",2.7,,,,,,
2010-Q3,services,professional services,architectural and engineering services,0.3,,,,,,
2010-Q3,services,professional services,other professional services,0.9,,,,,,
2010-Q3,services,administrative and support services,security and investigation,0.7,,,,,,
2010-Q3,services,administrative and support services,cleaning and landscaping,0.2,,,,,,
2010-Q3,services,administrative and support services,other administrative and support services,1.2,,,,,,
2010-Q3,services,"community, social and personal services",public administration,0.4,,,,,,
2010-Q3,services,"community, social and personal services",education,1,,,,,,
2010-Q3,services,"community, social and personal services",health and social services,1.4,,,,,,
2010-Q3,services,"community, social and personal services","arts, entertainment and recreation",0.4,,,,,,
2010-Q3,services,"community, social and personal services","other community, social and personal services",-1.5,,,,,,
2010-Q3,others,others,others,0.3,,,,,,
2010-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.6,,,,,,
2010-Q4,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.1,,,,,,
2010-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-2.7,,,,,,
2010-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1.5,,,,,,
2010-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",0.3,,,,,,
2010-Q4,manufacturing,transport equipment,transport equipment,-2.5,,,,,,
2010-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.5,,,,,,
2010-Q4,construction,construction,construction,1.3,,,,,,
2010-Q4,services,wholesale and retail trade,wholesale trade,3.5,,,,,,
2010-Q4,services,wholesale and retail trade,retail trade,4.6,,,,,,
2010-Q4,services,transportation and storage,land transport and supporting services,0.3,,,,,,
2010-Q4,services,transportation and storage,water transport and supporting services,0.2,,,,,,
2010-Q4,services,transportation and storage,air transport and supporting services,0.3,,,,,,
2010-Q4,services,transportation and storage,other transportation and storage services,1,,,,,,
2010-Q4,services,accommodation and food services,accommodation,1.4,,,,,,
2010-Q4,services,accommodation and food services,food and beverage services,7.4,,,,,,
2010-Q4,services,information and communications,"telecommunications, broadcasting and publishing",0.6,,,,,,
2010-Q4,services,information and communications,it and other information services,1.3,,,,,,
2010-Q4,services,financial and insurance services,financial services,2.1,,,,,,
2010-Q4,services,financial and insurance services,insurance services,-,,,,,,
2010-Q4,services,real estate services,real estate services,1.9,,,,,,
2010-Q4,services,professional services,"legal, accounting and management services",1.9,,,,,,
2010-Q4,services,professional services,architectural and engineering services,0.4,,,,,,
2010-Q4,services,professional services,other professional services,0.2,,,,,,
2010-Q4,services,administrative and support services,security and investigation,-0.4,,,,,,
2010-Q4,services,administrative and support services,cleaning and landscaping,0.1,,,,,,
2010-Q4,services,administrative and support services,other administrative and support services,-0.3,,,,,,
2010-Q4,services,"community, social and personal services",public administration,-0.6,,,,,,
2010-Q4,services,"community, social and personal services",education,1.8,,,,,,
2010-Q4,services,"community, social and personal services",health and social services,1.9,,,,,,
2010-Q4,services,"community, social and personal services","arts, entertainment and recreation",2.1,,,,,,
2010-Q4,services,"community, social and personal services","other community, social and personal services",3,,,,,,
2010-Q4,others,others,others,0.4,,,,,,
2011-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.1,,,,,,
2011-Q1,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-,,,,,,
2011-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-0.5,,,,,,
2011-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1.8,,,,,,
2011-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1.4,,,,,,
2011-Q1,manufacturing,transport equipment,transport equipment,0.6,,,,,,
2011-Q1,manufacturing,other manufacturing industries,other manufacturing industries,1.3,,,,,,
2011-Q1,construction,construction,construction,2.4,,,,,,
2011-Q1,services,wholesale and retail trade,wholesale trade,1.6,,,,,,
2011-Q1,services,wholesale and retail trade,retail trade,0.2,,,,,,
2011-Q1,services,transportation and storage,land transport and supporting services,0.1,,,,,,
2011-Q1,services,transportation and storage,water transport and supporting services,0.3,,,,,,
2011-Q1,services,transportation and storage,air transport and supporting services,0.6,,,,,,
2011-Q1,services,transportation and storage,other transportation and storage services,0.4,,,,,,
2011-Q1,services,accommodation and food services,accommodation,-0.3,,,,,,
2011-Q1,services,accommodation and food services,food and beverage services,0.9,,,,,,
2011-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.3,,,,,,
2011-Q1,services,information and communications,it and other information services,2.2,,,,,,
2011-Q1,services,financial and insurance services,financial services,1.2,,,,,,
2011-Q1,services,financial and insurance services,insurance services,0.1,,,,,,
2011-Q1,services,real estate services,real estate services,0.8,,,,,,
2011-Q1,services,professional services,"legal, accounting and management services",0.6,,,,,,
2011-Q1,services,professional services,architectural and engineering services,0.9,,,,,,
2011-Q1,services,professional services,other professional services,1,,,,,,
2011-Q1,services,administrative and support services,security and investigation,1,,,,,,
2011-Q1,services,administrative and support services,cleaning and landscaping,0.8,,,,,,
2011-Q1,services,administrative and support services,other administrative and support services,2.7,,,,,,
2011-Q1,services,"community, social and personal services",public administration,3.3,,,,,,
2011-Q1,services,"community, social and personal services",education,2,,,,,,
2011-Q1,services,"community, social and personal services",health and social services,2.2,,,,,,
2011-Q1,services,"community, social and personal services","arts, entertainment and recreation",0.3,,,,,,
2011-Q1,services,"community, social and personal services","other community, social and personal services",0.6,,,,,,
2011-Q1,others,others,others,0.2,,,,,,
2011-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.1,,,,,,
2011-Q2,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.2,,,,,,
2011-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-,,,,,,
2011-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1.5,,,,,,
2011-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-0.7,,,,,,
2011-Q2,manufacturing,transport equipment,transport equipment,1.2,,,,,,
2011-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.3,,,,,,
2011-Q2,construction,construction,construction,4.8,,,,,,
2011-Q2,services,wholesale and retail trade,wholesale trade,1.8,,,,,,
2011-Q2,services,wholesale and retail trade,retail trade,0.4,,,,,,
2011-Q2,services,transportation and storage,land transport and supporting services,0.5,,,,,,
2011-Q2,services,transportation and storage,water transport and supporting services,0.7,,,,,,
2011-Q2,services,transportation and storage,air transport and supporting services,0.5,,,,,,
2011-Q2,services,transportation and storage,other transportation and storage services,1.2,,,,,,
2011-Q2,services,accommodation and food services,accommodation,-0.2,,,,,,
2011-Q2,services,accommodation and food services,food and beverage services,0.9,,,,,,
2011-Q2,services,information and communications,"telecommunications, broadcasting and publishing",0.2,,,,,,
2011-Q2,services,information and communications,it and other information services,1.7,,,,,,
2011-Q2,services,financial and insurance services,financial services,1.3,,,,,,
2011-Q2,services,financial and insurance services,insurance services,0.1,,,,,,
2011-Q2,services,real estate services,real estate services,0.4,,,,,,
2011-Q2,services,professional services,"legal, accounting and management services",0.8,,,,,,
2011-Q2,services,professional services,architectural and engineering services,1.1,,,,,,
2011-Q2,services,professional services,other professional services,0.4,,,,,,
2011-Q2,services,administrative and support services,security and investigation,0.2,,,,,,
2011-Q2,services,administrative and support services,cleaning and landscaping,0.1,,,,,,
2011-Q2,services,administrative and support services,other administrative and support services,4,,,,,,
2011-Q2,services,"community, social and personal services",public administration,-1.8,,,,,,
2011-Q2,services,"community, social and personal services",education,1.7,,,,,,
2011-Q2,services,"community, social and personal services",health and social services,2.2,,,,,,
2011-Q2,services,"community, social and personal services","arts, entertainment and recreation",-0.1,,,,,,
2011-Q2,services,"community, social and personal services","other community, social and personal services",0.1,,,,,,
2011-Q2,others,others,others,-,,,,,,
2011-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.5,,,,,,
2011-Q3,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.2,,,,,,
2011-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-,,,,,,
2011-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",2.2,,,,,,
2011-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1.2,,,,,,
2011-Q3,manufacturing,transport equipment,transport equipment,2.6,,,,,,
2011-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.2,,,,,,
2011-Q3,construction,construction,construction,6.5,,,,,,
2011-Q3,services,wholesale and retail trade,wholesale trade,1.3,,,,,,
2011-Q3,services,wholesale and retail trade,retail trade,0.7,,,,,,
2011-Q3,services,transportation and storage,land transport and supporting services,-,,,,,,
2011-Q3,services,transportation and storage,water transport and supporting services,1.3,,,,,,
2011-Q3,services,transportation and storage,air transport and supporting services,0.3,,,,,,
2011-Q3,services,transportation and storage,other transportation and storage services,-,,,,,,
2011-Q3,services,accommodation and food services,accommodation,1.3,,,,,,
2011-Q3,services,accommodation and food services,food and beverage services,1.6,,,,,,
2011-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.5,,,,,,
2011-Q3,services,information and communications,it and other information services,2,,,,,,
2011-Q3,services,financial and insurance services,financial services,2.9,,,,,,
2011-Q3,services,financial and insurance services,insurance services,-0.1,,,,,,
2011-Q3,services,real estate services,real estate services,0.5,,,,,,
2011-Q3,services,professional services,"legal, accounting and management services",1.8,,,,,,
2011-Q3,services,professional services,architectural and engineering services,0.7,,,,,,
2011-Q3,services,professional services,other professional services,0.7,,,,,,
2011-Q3,services,administrative and support services,security and investigation,1,,,,,,
2011-Q3,services,administrative and support services,cleaning and landscaping,0.2,,,,,,
2011-Q3,services,administrative and support services,other administrative and support services,-1,,,,,,
2011-Q3,services,"community, social and personal services",public administration,-0.5,,,,,,
2011-Q3,services,"community, social and personal services",education,1.3,,,,,,
2011-Q3,services,"community, social and personal services",health and social services,1.9,,,,,,
2011-Q3,services,"community, social and personal services","arts, entertainment and recreation",0.8,,,,,,
2011-Q3,services,"community, social and personal services","other community, social and personal services",1.4,,,,,,
2011-Q3,others,others,others,0.3,,,,,,
2011-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.1,,,,,,
2011-Q4,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-,,,,,,
2011-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-0.5,,,,,,
2011-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.3,,,,,,
2011-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1.5,,,,,,
2011-Q4,manufacturing,transport equipment,transport equipment,1.7,,,,,,
2011-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.8,,,,,,
2011-Q4,construction,construction,construction,8.2,,,,,,
2011-Q4,services,wholesale and retail trade,wholesale trade,2.1,,,,,,
2011-Q4,services,wholesale and retail trade,retail trade,5.5,,,,,,
2011-Q4,services,transportation and storage,land transport and supporting services,0.5,,,,,,
2011-Q4,services,transportation and storage,water transport and supporting services,0.1,,,,,,
2011-Q4,services,transportation and storage,air transport and supporting services,0.5,,,,,,
2011-Q4,services,transportation and storage,other transportation and storage services,-0.1,,,,,,
2011-Q4,services,accommodation and food services,accommodation,1.2,,,,,,
2011-Q4,services,accommodation and food services,food and beverage services,4.7,,,,,,
2011-Q4,services,information and communications,"telecommunications, broadcasting and publishing",0.2,,,,,,
2011-Q4,services,information and communications,it and other information services,2.2,,,,,,
2011-Q4,services,financial and insurance services,financial services,1.2,,,,,,
2011-Q4,services,financial and insurance services,insurance services,0.3,,,,,,
2011-Q4,services,real estate services,real estate services,1.7,,,,,,
2011-Q4,services,professional services,"legal, accounting and management services",0.4,,,,,,
2011-Q4,services,professional services,architectural and engineering services,0.5,,,,,,
2011-Q4,services,professional services,other professional services,0.5,,,,,,
2011-Q4,services,administrative and support services,security and investigation,0.2,,,,,,
2011-Q4,services,administrative and support services,cleaning and landscaping,-0.2,,,,,,
2011-Q4,services,administrative and support services,other administrative and support services,0.9,,,,,,
